state,postcode,country,state_ok,postcode_state_country,Latitude,Longitude,dist_to_rch,km_to_rch,albury_wodonga,barwon_geelong,bendigo_bendigo,cabrini_brighton,cabrini_malvern,casey_berwick,central_sale,dandenong_dandenong,eastern_boxhill,echuca_echuca,epworth_richmond,frankston_frankston,grampians_ballarat,grampians_horsham,latrobe_traralgonwest,maroondah_eastringwood,mildura_mildura,monash_clayton,shepparton_shepparton,south_warrnambool,sunshine_stalbans,northern_epping,royal_parkville,wangaratta_wangaratta,werribee_werribee,west_warragul,TravelDuration,TravelDuration_min,min_distance,closest_hospital
VIC,3000,Australia,Victoria,3000 Victoria Australia,-37.81314087,144.9623871,2.4,2.4,253.0,64.5,132.6,11.3,8.3,42.2,188.7,29.1,13.8,187.3,2.7,40.2,102.2,272.7,139.8,26.3,476.3,18.5,166.5,226.9,14.2,18.4,2.4,202.1,24.5,93.5,617.0,10.3,2.4,royal_parkville
VIC,3002,Australia,Victoria,3002 Victoria Australia,-37.81441879,144.9825897,3.7,3.7,251.9,65.8,133.6,10.9,7.0,40.7,186.9,27.6,12.0,187.6,1.0,39.5,104.0,274.4,138.0,24.5,477.4,17.1,166.2,228.5,15.8,18.2,3.7,201.2,26.1,91.9,820.0,13.7,3.7,epworth_richmond
VIC,3003,Australia,Victoria,3003 Victoria Australia,-37.80931473,144.9252014,2.8,2.8,254.9,62.1,130.8,12.8,11.2,45.1,191.9,32.0,17.0,186.5,6.0,41.9,99.0,269.6,143.0,29.5,474.2,21.3,166.9,223.9,11.0,19.1,2.7,203.8,21.6,96.7,691.0,11.5,2.7,royal_parkville
VIC,3004,Australia,Victoria,3004 Victoria Australia,-37.83251953,144.9773254,5.0,5.0,253.7,64.3,135.2,8.9,5.9,39.9,187.0,26.7,12.6,189.5,2.1,37.7,104.1,274.8,137.8,25.2,478.9,16.1,168.3,227.5,16.3,20.2,4.9,203.1,25.1,91.4,1093.0,18.2,4.9,epworth_richmond
VIC,3005,Australia,Victoria,3005 Victoria Australia,-36.85008621,144.3042908,119.4,119.4,243.7,144.8,11.4,132.8,129.7,161.3,282.2,149.2,129.2,88.6,123.6,161.8,87.7,187.2,244.4,135.4,354.9,139.3,112.9,234.6,110.9,109.2,119.5,187.7,120.3,205.2,5821.0,97.0,119.5,bendigo_bendigo
VIC,3006,Australia,Victoria,3006 Victoria Australia,-37.82575607,144.9606628,3.7,3.7,254.1,63.5,133.8,10.0,7.6,41.5,188.5,28.4,14.0,188.6,3.0,39.0,102.5,273.2,139.4,26.5,477.4,17.7,167.9,226.3,14.7,19.8,3.6,203.3,23.9,93.1,803.0,13.4,3.6,epworth_richmond
VIC,3008,Australia,Victoria,3008 Victoria Australia,-37.81834793,144.940445,2.9,2.9,254.7,62.6,132.3,11.3,9.5,43.4,190.4,30.3,15.7,187.6,4.6,40.4,100.5,271.2,141.4,28.2,475.8,19.7,167.5,224.9,12.7,19.5,2.8,203.7,22.5,95.0,763.0,12.7,2.8,royal_parkville
VIC,3010,Australia,Victoria,3010 Victoria Australia,-36.85008621,144.3042908,119.4,119.4,243.7,144.8,11.4,132.8,129.7,161.3,282.2,149.2,129.2,88.6,123.6,161.8,87.7,187.2,244.4,135.4,354.9,139.3,112.9,234.6,110.9,109.2,119.5,187.7,120.3,205.2,5821.0,97.0,119.5,bendigo_bendigo
VIC,3011,Australia,Victoria,3011 Victoria Australia,-37.79947281,144.8962555,4.8,4.8,255.9,60.8,128.7,15.0,13.9,47.8,194.6,34.7,19.6,185.2,8.7,44.0,96.2,266.8,145.7,32.0,471.9,24.0,166.5,221.8,8.3,19.3,4.7,204.5,19.8,99.4,760.0,12.7,4.7,royal_parkville
VIC,3012,Australia,Victoria,3012 Victoria Australia,-37.80322647,144.8588562,8.1,8.1,258.5,58.1,127.8,16.8,16.7,50.3,197.8,37.2,22.9,185.4,11.9,45.3,93.2,264.0,148.7,35.3,470.5,26.6,167.9,218.5,6.1,21.6,8.0,206.8,16.8,102.2,1206.0,20.1,8.0,sunshine_stalbans
