"","postcode","RA_NAME_2021","GCCSA_NAME_2021","STATE_NAME_2021","SA2_NAME_2021","SA3_NAME_2021","SA4_NAME_2021","sort"
"1","0800","Outer Regional Australia","Greater Darwin","Northern Territory","Darwin City","Darwin City","Darwin",3
"2","0810","Outer Regional Australia","Greater Darwin","Northern Territory","Jingili","Darwin Suburbs","Darwin",3
"3","0812","Outer Regional Australia","Greater Darwin","Northern Territory","Leanyer","Darwin Suburbs","Darwin",3
"4","0820","Outer Regional Australia","Greater Darwin","Northern Territory","Stuart Park","Darwin City","Darwin",3
"5","0822","Outer Regional Australia","Greater Darwin","Northern Territory","Virginia","Litchfield","Darwin",3
"6","0828","Outer Regional Australia","Greater Darwin","Northern Territory","Berrimah","Darwin Suburbs","Darwin",3
"7","0829","Outer Regional Australia","Greater Darwin","Northern Territory","Durack - Marlow Lagoon","Palmerston","Darwin",3
"8","0830","Outer Regional Australia","Greater Darwin","Northern Territory","Driver","Palmerston","Darwin",3
"9","0832","Outer Regional Australia","Greater Darwin","Northern Territory","Rosebery - Bellamack","Palmerston","Darwin",3
"10","0834","Outer Regional Australia","Greater Darwin","Northern Territory","Virginia","Litchfield","Darwin",3
"11","0835","Outer Regional Australia","Greater Darwin","Northern Territory","Howard Springs","Litchfield","Darwin",3
"12","0836","Outer Regional Australia","Greater Darwin","Northern Territory","Humpty Doo","Litchfield","Darwin",3
"13","0837","Outer Regional Australia","Greater Darwin","Northern Territory","Weddell","Litchfield","Darwin",3
"14","0838","Outer Regional Australia","Greater Darwin","Northern Territory","Weddell","Litchfield","Darwin",3
"15","0839","Outer Regional Australia","Greater Darwin","Northern Territory","Virginia","Litchfield","Darwin",3
"16","0840","Remote Australia","Rest of NT","Northern Territory","Alligator","Daly - Tiwi - West Arnhem","Northern Territory - Outback",4
"17","0841","Outer Regional Australia","Greater Darwin","Northern Territory","Weddell","Litchfield","Darwin",3
"18","0845","Remote Australia","Rest of NT","Northern Territory","Alligator","Daly - Tiwi - West Arnhem","Northern Territory - Outback",4
"19","0846","Remote Australia","Rest of NT","Northern Territory","Alligator","Daly - Tiwi - West Arnhem","Northern Territory - Outback",4
"20","0847","Remote Australia","Rest of NT","Northern Territory","Daly","Daly - Tiwi - West Arnhem","Northern Territory - Outback",4
"21","0850","Remote Australia","Rest of NT","Northern Territory","Katherine","Katherine","Northern Territory - Outback",4
"22","0852","Remote Australia","Rest of NT","Northern Territory","Katherine","Katherine","Northern Territory - Outback",4
"23","0853","Remote Australia","Rest of NT","Northern Territory","Katherine","Katherine","Northern Territory - Outback",4
"24","0854","Very Remote Australia","Rest of NT","Northern Territory","Gulf","Katherine","Northern Territory - Outback",5
"25","0860","Very Remote Australia","Rest of NT","Northern Territory","Tennant Creek","Barkly","Northern Territory - Outback",5
"26","0862","Very Remote Australia","Rest of NT","Northern Territory","Barkly","Barkly","Northern Territory - Outback",5
"27","0870","Remote Australia","Rest of NT","Northern Territory","Mount Johns","Alice Springs","Northern Territory - Outback",4
"28","0872","Remote Australia","Rest of NT","Northern Territory","Sandover - Plenty","Alice Springs","Northern Territory - Outback",4
"29","0873","Remote Australia","Rest of NT","Northern Territory","Sandover - Plenty","Alice Springs","Northern Territory - Outback",4
"30","0874","Remote Australia","Rest of NT","Northern Territory","East Side","Alice Springs","Northern Territory - Outback",4
"31","0875","Remote Australia","Rest of NT","Northern Territory","Flynn (NT)","Alice Springs","Northern Territory - Outback",4
"32","0880","Very Remote Australia","Rest of NT","Northern Territory","Nhulunbuy","East Arnhem","Northern Territory - Outback",5
"33","0885","Very Remote Australia","Rest of NT","Northern Territory","Anindilyakwa","East Arnhem","Northern Territory - Outback",5
"34","0886","Remote Australia","Rest of NT","Northern Territory","Alligator","Daly - Tiwi - West Arnhem","Northern Territory - Outback",4
"35","2000","Major Cities of Australia","Greater Sydney","New South Wales","Sydney (North) - Millers Point","Sydney Inner City","Sydney - City and Inner South",1
"36","2007","Major Cities of Australia","Greater Sydney","New South Wales","Ultimo","Sydney Inner City","Sydney - City and Inner South",1
"37","2008","Major Cities of Australia","Greater Sydney","New South Wales","Camperdown - Darlington","Sydney Inner City","Sydney - City and Inner South",1
"38","2009","Major Cities of Australia","Greater Sydney","New South Wales","Pyrmont","Sydney Inner City","Sydney - City and Inner South",1
"39","2010","Major Cities of Australia","Greater Sydney","New South Wales","Darlinghurst","Sydney Inner City","Sydney - City and Inner South",1
"40","2011","Major Cities of Australia","Greater Sydney","New South Wales","Potts Point - Woolloomooloo","Sydney Inner City","Sydney - City and Inner South",1
"41","2015","Major Cities of Australia","Greater Sydney","New South Wales","Erskineville - Alexandria","Sydney Inner City","Sydney - City and Inner South",1
"42","2016","Major Cities of Australia","Greater Sydney","New South Wales","Redfern","Sydney Inner City","Sydney - City and Inner South",1
"43","2017","Major Cities of Australia","Greater Sydney","New South Wales","Zetland","Sydney Inner City","Sydney - City and Inner South",1
"44","2018","Major Cities of Australia","Greater Sydney","New South Wales","Eastlakes","Botany","Sydney - City and Inner South",1
"45","2019","Major Cities of Australia","Greater Sydney","New South Wales","Botany","Botany","Sydney - City and Inner South",1
"46","2020","Major Cities of Australia","Greater Sydney","New South Wales","Mascot","Botany","Sydney - City and Inner South",1
"47","2021","Major Cities of Australia","Greater Sydney","New South Wales","Paddington - Moore Park","Eastern Suburbs - North","Sydney - Eastern Suburbs",1
"48","2022","Major Cities of Australia","Greater Sydney","New South Wales","Bondi Junction - Waverly","Eastern Suburbs - North","Sydney - Eastern Suburbs",1
"49","2023","Major Cities of Australia","Greater Sydney","New South Wales","Bellevue Hill","Eastern Suburbs - North","Sydney - Eastern Suburbs",1
"50","2024","Major Cities of Australia","Greater Sydney","New South Wales","Bondi Junction - Waverly","Eastern Suburbs - North","Sydney - Eastern Suburbs",1
"51","2025","Major Cities of Australia","Greater Sydney","New South Wales","Woollahra","Eastern Suburbs - North","Sydney - Eastern Suburbs",1
"52","2026","Major Cities of Australia","Greater Sydney","New South Wales","Bondi Beach - North Bondi","Eastern Suburbs - North","Sydney - Eastern Suburbs",1
"53","2027","Major Cities of Australia","Greater Sydney","New South Wales","Double Bay - Darling Point","Eastern Suburbs - North","Sydney - Eastern Suburbs",1
"54","2028","Major Cities of Australia","Greater Sydney","New South Wales","Double Bay - Darling Point","Eastern Suburbs - North","Sydney - Eastern Suburbs",1
"55","2029","Major Cities of Australia","Greater Sydney","New South Wales","Dover Heights","Eastern Suburbs - North","Sydney - Eastern Suburbs",1
"56","2030","Major Cities of Australia","Greater Sydney","New South Wales","Dover Heights","Eastern Suburbs - North","Sydney - Eastern Suburbs",1
"57","2031","Major Cities of Australia","Greater Sydney","New South Wales","Randwick - South","Eastern Suburbs - South","Sydney - Eastern Suburbs",1
"58","2032","Major Cities of Australia","Greater Sydney","New South Wales","Kingsford","Eastern Suburbs - South","Sydney - Eastern Suburbs",1
"59","2033","Major Cities of Australia","Greater Sydney","New South Wales","Kensington (NSW)","Eastern Suburbs - South","Sydney - Eastern Suburbs",1
"60","2034","Major Cities of Australia","Greater Sydney","New South Wales","Coogee - Clovelly","Eastern Suburbs - South","Sydney - Eastern Suburbs",1
"61","2035","Major Cities of Australia","Greater Sydney","New South Wales","Maroubra - South","Eastern Suburbs - South","Sydney - Eastern Suburbs",1
"62","2036","Major Cities of Australia","Greater Sydney","New South Wales","Matraville - Chifley","Eastern Suburbs - South","Sydney - Eastern Suburbs",1
"63","2037","Major Cities of Australia","Greater Sydney","New South Wales","Glebe - Forest Lodge","Sydney Inner City","Sydney - City and Inner South",1
"64","2038","Major Cities of Australia","Greater Sydney","New South Wales","Annandale (NSW)","Leichhardt","Sydney - Inner West",1
"65","2039","Major Cities of Australia","Greater Sydney","New South Wales","Lilyfield - Rozelle","Leichhardt","Sydney - Inner West",1
"66","2040","Major Cities of Australia","Greater Sydney","New South Wales","Leichhardt","Leichhardt","Sydney - Inner West",1
"67","2041","Major Cities of Australia","Greater Sydney","New South Wales","Balmain","Leichhardt","Sydney - Inner West",1
"68","2042","Major Cities of Australia","Greater Sydney","New South Wales","Newtown (NSW)","Sydney Inner City","Sydney - City and Inner South",1
"69","2043","Major Cities of Australia","Greater Sydney","New South Wales","Erskineville - Alexandria","Sydney Inner City","Sydney - City and Inner South",1
"70","2044","Major Cities of Australia","Greater Sydney","New South Wales","Sydenham - Tempe - St Peters","Marrickville - Sydenham - Petersham","Sydney - City and Inner South",1
"71","2045","Major Cities of Australia","Greater Sydney","New South Wales","Haberfield - Summer Hill","Strathfield - Burwood - Ashfield","Sydney - Inner West",1
"72","2046","Major Cities of Australia","Greater Sydney","New South Wales","Five Dock - Abbotsford","Canada Bay","Sydney - Inner West",1
"73","2047","Major Cities of Australia","Greater Sydney","New South Wales","Drummoyne - Rodd Point","Canada Bay","Sydney - Inner West",1
"74","2048","Major Cities of Australia","Greater Sydney","New South Wales","Petersham - Stanmore","Marrickville - Sydenham - Petersham","Sydney - City and Inner South",1
"75","2049","Major Cities of Australia","Greater Sydney","New South Wales","Petersham - Stanmore","Marrickville - Sydenham - Petersham","Sydney - City and Inner South",1
"76","2050","Major Cities of Australia","Greater Sydney","New South Wales","Camperdown - Darlington","Sydney Inner City","Sydney - City and Inner South",1
"77","2060","Major Cities of Australia","Greater Sydney","New South Wales","Crows Nest - Waverton","North Sydney - Mosman","Sydney - North Sydney and Hornsby",1
"78","2061","Major Cities of Australia","Greater Sydney","New South Wales","Neutral Bay - Kirribilli","North Sydney - Mosman","Sydney - North Sydney and Hornsby",1
"79","2062","Major Cities of Australia","Greater Sydney","New South Wales","Cremorne - Cammeray","North Sydney - Mosman","Sydney - North Sydney and Hornsby",1
"80","2063","Major Cities of Australia","Greater Sydney","New South Wales","Castle Cove - Northbridge","Chatswood - Lane Cove","Sydney - North Sydney and Hornsby",1
"81","2064","Major Cities of Australia","Greater Sydney","New South Wales","Artarmon","Chatswood - Lane Cove","Sydney - North Sydney and Hornsby",1
