state,postcode,country,state_ok,postcode_state_country,Latitude,Longitude,dist_to_rch,km_to_rch,km_to_albury,km_to_austin,km_to_barwon,km_to_bendigo,km_to_monash,km_to_sunshine,km_to_northern,min_distance,closest_hosp,TravelDuration,TravelDuration_min
NT,812,Australia,Northern Territory,812 Northern Territory Australia,-12.700399,131.013181,3113.73952,3113.73952,3050.86762,3115.028833,3123.380377,2983.715016,3133.523299,3104.588561,3103.126331,2983.715016,Bendigo,127561,2126.016667
NT,830,Australia,Northern Territory,830 Northern Territory Australia,-19.41473961,133.3649139,2331.009206,2331.009206,2280.028814,2332.653998,2338.718024,2201.303007,2350.980984,2321.590992,2320.842958,2201.303007,Bendigo,105436,1757.266667
NT,870,Australia,Northern Territory,870 Northern Territory Australia,-12.453393,130.962514,3141.082522,3141.082522,3077.620502,3142.350689,3150.846746,3011.04424,3160.854362,3131.948018,3130.443282,3011.04424,Bendigo,128497,2141.616667
NSW,2020,Australia,New South Wales,2020 New South Wales Australia,-33.94015884,151.1819763,706.0722466,706.0722466,461.2496877,695.8770277,770.8441859,699.0213805,702.3841938,713.3803274,692.4650561,461.2496877,Albury,30423,507.05
NSW,2028,Australia,New South Wales,2028 New South Wales Australia,-33.87782669,151.2438049,714.8753123,714.8753123,469.8236176,704.6857559,779.6535945,707.351807,711.2341918,722.1582059,701.2436162,469.8236176,Albury,30842,514.0333333
NSW,2038,Australia,New South Wales,2038 New South Wales Australia,-33.88083267,151.1713715,709.4998223,709.4998223,464.0729077,699.3234372,774.2912588,701.3364452,705.9753081,716.728017,695.8153186,464.0729077,Albury,30474,507.9
NSW,2043,Australia,New South Wales,2043 New South Wales Australia,-33.90257263,151.1857605,708.9875474,708.9875474,463.837151,698.8021679,773.7702431,701.331184,705.3852275,716.2534636,695.3393803,463.837151,Albury,30221,503.6833333
NSW,2066,Australia,New South Wales,2066 New South Wales Australia,-33.81637192,151.1619263,713.4214478,713.4214478,467.3854578,703.2656486,778.2292362,704.08019,710.0694709,720.5648668,699.6564084,467.3854578,Albury,31159,519.3166667
NSW,2074,Australia,New South Wales,2074 New South Wales Australia,-33.65967941,151.1607971,724.6817694,724.6817694,477.4190236,714.5731954,789.5101705,712.7411016,721.7039003,731.6391484,710.7453253,477.4190236,Albury,31304,521.7333333
NSW,2075,Australia,New South Wales,2075 New South Wales Australia,-33.72086716,151.1708374,720.9286824,720.9286824,474.1713614,710.7993534,785.7507114,710.0876721,717.789284,727.9662968,707.0652855,474.1713614,Albury,31329,522.15
NSW,2077,Australia,New South Wales,2077 New South Wales Australia,-33.67841339,151.101532,719.1827459,719.1827459,471.7694641,709.0817639,784.0125043,706.96312,716.2651757,726.112121,705.2210558,471.7694641,Albury,31455,524.25
NSW,2088,Australia,New South Wales,2088 New South Wales Australia,-33.82908249,151.2446289,718.3801414,718.3801414,472.8977982,708.2041026,783.1718983,710.0456273,714.8553941,725.6058423,704.6932798,472.8977982,Albury,31123,518.7166667
NSW,2089,Australia,New South Wales,2089 New South Wales Australia,-33.83588791,151.2187347,716.0561351,716.0561351,470.492443,705.8832467,780.8507033,707.5886171,712.5592288,723.2690456,702.3570213,470.492443,Albury,30828,513.8
NSW,2111,Australia,New South Wales,2111 New South Wales Australia,-33.83041,151.1281586,710.0299248,710.0299248,463.9319303,699.8769728,774.8395914,700.5967296,706.7027705,717.1622927,696.2544781,463.9319303,Albury,30846,514.1
NSW,2114,Australia,New South Wales,2114 New South Wales Australia,-33.80763245,151.0830689,708.4908036,708.4908036,461.9679082,698.3542184,773.3096237,698.2331375,705.2977489,715.5583315,694.6549062,461.9679082,Albury,30603,510.05
NSW,2117,Australia,New South Wales,2117 New South Wales Australia,-33.79590225,151.0401306,706.3272615,706.3272615,459.4895142,696.2036577,771.1514247,695.4479452,703.2385361,713.3444771,692.4450483,459.4895142,Albury,30354,505.9
NSW,2118,Australia,New South Wales,2118 New South Wales Australia,-33.77575302,151.0453796,708.1582089,708.1582089,461.1907195,698.0396714,772.9840263,696.9930343,705.1086793,715.1556765,694.2579793,461.1907195,Albury,30510,508.5
NSW,2120,Australia,New South Wales,2120 New South Wales Australia,-33.72693634,151.0756073,713.8264368,713.8264368,466.6407872,703.7162531,778.6544716,702.148758,710.8399528,720.7912732,699.8966372,466.6407872,Albury,30767,512.7833333
