POA_CODE_2021,PHN_NAME_2017
800,Northern Territory
810,Northern Territory
812,Northern Territory
820,Northern Territory
822,
822,Northern Territory
828,Northern Territory
829,Northern Territory
830,Northern Territory
832,Northern Territory
834,Northern Territory
835,Northern Territory
836,Northern Territory
837,Northern Territory
838,Northern Territory
839,Northern Territory
840,Northern Territory
841,Northern Territory
845,Northern Territory
846,Northern Territory
847,Northern Territory
850,Northern Territory
852,Northern Territory
853,Northern Territory
854,Northern Territory
860,Northern Territory
862,Northern Territory
870,Northern Territory
872,Country SA
872,Country WA
872,Northern Territory
873,Northern Territory
874,Northern Territory
875,Northern Territory
880,Northern Territory
885,Northern Territory
886,Northern Territory
2000,Central and Eastern Sydney
2007,Central and Eastern Sydney
2008,Central and Eastern Sydney
2009,
2009,Central and Eastern Sydney
2010,Central and Eastern Sydney
2011,Central and Eastern Sydney
2015,Central and Eastern Sydney
2016,Central and Eastern Sydney
2017,Central and Eastern Sydney
2018,Central and Eastern Sydney
2019,Central and Eastern Sydney
2020,Central and Eastern Sydney
2021,Central and Eastern Sydney
2022,Central and Eastern Sydney
2023,Central and Eastern Sydney
2024,Central and Eastern Sydney
2025,Central and Eastern Sydney
2026,Central and Eastern Sydney
2027,Central and Eastern Sydney
2028,Central and Eastern Sydney
2029,Central and Eastern Sydney
2030,Central and Eastern Sydney
2031,Central and Eastern Sydney
2032,Central and Eastern Sydney
2033,Central and Eastern Sydney
2034,Central and Eastern Sydney
2035,Central and Eastern Sydney
2036,Central and Eastern Sydney
2037,Central and Eastern Sydney
2038,Central and Eastern Sydney
2039,Central and Eastern Sydney
2040,Central and Eastern Sydney
2041,Central and Eastern Sydney
2042,Central and Eastern Sydney
2043,Central and Eastern Sydney
2044,Central and Eastern Sydney
2045,Central and Eastern Sydney
2046,Central and Eastern Sydney
2047,Central and Eastern Sydney
2048,Central and Eastern Sydney
2049,Central and Eastern Sydney
2050,Central and Eastern Sydney
2060,Northern Sydney
2061,Northern Sydney
2062,Northern Sydney
2063,Northern Sydney
2064,Northern Sydney
2065,Northern Sydney
2066,Northern Sydney
2067,Northern Sydney
2068,Northern Sydney
2069,Northern Sydney
2070,Northern Sydney
2071,Northern Sydney
2072,Northern Sydney
2073,Northern Sydney
2074,Northern Sydney
2075,Northern Sydney
2076,Northern Sydney
2077,Northern Sydney
2079,Northern Sydney
2080,Northern Sydney
2081,Northern Sydney
2082,Northern Sydney
2083,Northern Sydney
2083,Hunter New England and Central Coast
2084,Northern Sydney
2085,Northern Sydney
2086,Northern Sydney
2087,Northern Sydney
2088,Northern Sydney
2089,Northern Sydney
2090,Northern Sydney
2092,Northern Sydney
2093,Northern Sydney
2094,Northern Sydney
2095,Northern Sydney
2096,Northern Sydney
2097,Northern Sydney
2099,Northern Sydney
2100,Northern Sydney
2101,Northern Sydney
2102,Northern Sydney
2103,Northern Sydney
2104,Northern Sydney
2105,Northern Sydney
2106,Northern Sydney
2107,Northern Sydney
2108,Northern Sydney
2110,Central and Eastern Sydney
2110,Northern Sydney
2111,Northern Sydney
2112,Northern Sydney
2113,Northern Sydney
2114,Northern Sydney
2114,Western Sydney
2115,Western Sydney
2116,Western Sydney
2117,Western Sydney
2118,Northern Sydney
2118,Western Sydney
2119,Northern Sydney
2120,Northern Sydney
2121,Northern Sydney
2121,Western Sydney
2122,Northern Sydney
2122,Western Sydney
2125,Northern Sydney
2125,Western Sydney
2126,Northern Sydney
2127,Central and Eastern Sydney
2127,Western Sydney
2128,Western Sydney
2130,Central and Eastern Sydney
2131,Central and Eastern Sydney
2132,Central and Eastern Sydney
2133,Central and Eastern Sydney
2134,Central and Eastern Sydney
2135,Central and Eastern Sydney
2136,Central and Eastern Sydney
2137,Central and Eastern Sydney
2138,Central and Eastern Sydney
2140,Central and Eastern Sydney
2141,Western Sydney
2142,Western Sydney
2143,Western Sydney
2143,South Western Sydney
2144,Western Sydney
2145,Western Sydney
2146,Western Sydney
2147,Western Sydney
2148,Western Sydney
2150,Western Sydney
2151,Western Sydney
2152,Western Sydney
2153,Western Sydney
2154,Northern Sydney
2154,Western Sydney
2155,Western Sydney
2156,Northern Sydney
2156,Western Sydney
2157,Northern Sydney
2157,Western Sydney
2158,Northern Sydney
2158,Western Sydney
2159,Northern Sydney
2160,Western Sydney
2161,Western Sydney
2161,South Western Sydney
2162,Western Sydney
2162,South Western Sydney
2163,South Western Sydney
2164,Western Sydney
2164,South Western Sydney
2165,Western Sydney
2165,South Western Sydney
2166,South Western Sydney
2167,South Western Sydney
2168,South Western Sydney
2170,South Western Sydney
2171,South Western Sydney
2172,Central and Eastern Sydney
2172,South Western Sydney
2173,Central and Eastern Sydney
2173,South Western Sydney
2174,South Western Sydney
2175,South Western Sydney
2176,South Western Sydney
2177,South Western Sydney
2178,Nepean Blue Mountains
2178,South Western Sydney
2179,South Western Sydney
2190,Central and Eastern Sydney
2190,South Western Sydney
2191,Central and Eastern Sydney
2192,Central and Eastern Sydney
2193,Central and Eastern Sydney
2194,Central and Eastern Sydney
2195,Central and Eastern Sydney
2196,Central and Eastern Sydney
2196,South Western Sydney
2197,South Western Sydney
2198,South Western Sydney
2199,South Western Sydney
2200,South Western Sydney
2203,Central and Eastern Sydney
2204,Central and Eastern Sydney
2205,Central and Eastern Sydney
2206,Central and Eastern Sydney
2207,Central and Eastern Sydney
2208,Central and Eastern Sydney
2209,Central and Eastern Sydney
2210,Central and Eastern Sydney
2211,South Western Sydney
2212,South Western Sydney
2213,South Western Sydney
2214,South Western Sydney
2216,Central and Eastern Sydney
2217,Central and Eastern Sydney
2218,Central and Eastern Sydney
2219,Central and Eastern Sydney
2220,Central and Eastern Sydney
2221,Central and Eastern Sydney
2222,Central and Eastern Sydney
2223,Central and Eastern Sydney
2224,Central and Eastern Sydney
2225,Central and Eastern Sydney
2226,Central and Eastern Sydney
2227,Central and Eastern Sydney
2228,Central and Eastern Sydney
2229,Central and Eastern Sydney
2230,Central and Eastern Sydney
2231,Central and Eastern Sydney
2232,Central and Eastern Sydney
2233,Central and Eastern Sydney
2234,Central and Eastern Sydney
2250,Nepean Blue Mountains
2250,Hunter New England and Central Coast
2251,Hunter New England and Central Coast
2256,Hunter New England and Central Coast
2257,Hunter New England and Central Coast
2258,Hunter New England and Central Coast
2259,Hunter New England and Central Coast
2260,Hunter New England and Central Coast
2261,Hunter New England and Central Coast
2262,Hunter New England and Central Coast
2263,Hunter New England and Central Coast
2264,Hunter New England and Central Coast
2265,Hunter New England and Central Coast
2267,Hunter New England and Central Coast
2278,Hunter New England and Central Coast
2280,Hunter New England and Central Coast
2281,Hunter New England and Central Coast
2282,Hunter New England and Central Coast
2283,Hunter New England and Central Coast
2284,Hunter New England and Central Coast
2285,Hunter New England and Central Coast
2286,Hunter New England and Central Coast
2287,Hunter New England and Central Coast
2289,Hunter New England and Central Coast
2290,Hunter New England and Central Coast
2291,Hunter New England and Central Coast
2292,Hunter New England and Central Coast
2293,Hunter New England and Central Coast
2294,Hunter New England and Central Coast
2295,Hunter New England and Central Coast
2296,Hunter New England and Central Coast
2297,Hunter New England and Central Coast
2298,Hunter New England and Central Coast
2299,Hunter New England and Central Coast
2300,Hunter New England and Central Coast
2302,Hunter New England and Central Coast
2303,Hunter New England and Central Coast
2304,Hunter New England and Central Coast
2305,Hunter New England and Central Coast
2306,Hunter New England and Central Coast
2307,Hunter New England and Central Coast
2308,Hunter New England and Central Coast
2311,Hunter New England and Central Coast
2312,Hunter New England and Central Coast
2315,Hunter New England and Central Coast
2316,Hunter New England and Central Coast
2317,Hunter New England and Central Coast
2318,Hunter New England and Central Coast
2319,Hunter New England and Central Coast
2320,Hunter New England and Central Coast
2321,Hunter New England and Central Coast
2322,Hunter New England and Central Coast
2323,Hunter New England and Central Coast
2324,Hunter New England and Central Coast
2325,Hunter New England and Central Coast
2326,Hunter New England and Central Coast
2327,Hunter New England and Central Coast
2328,Hunter New England and Central Coast
2329,Western NSW
2329,Hunter New England and Central Coast
2330,Nepean Blue Mountains
2330,Hunter New England and Central Coast
2331,Hunter New England and Central Coast
2333,Hunter New England and Central Coast
2334,Hunter New England and Central Coast
2335,Hunter New England and Central Coast
2336,Hunter New England and Central Coast
2337,Hunter New England and Central Coast
2338,Hunter New England and Central Coast
2339,Hunter New England and Central Coast
2340,Hunter New England and Central Coast
2341,Hunter New England and Central Coast
2342,Hunter New England and Central Coast
2343,Hunter New England and Central Coast
2344,Hunter New England and Central Coast
2345,Hunter New England and Central Coast
2346,Hunter New England and Central Coast
2347,Hunter New England and Central Coast
2350,Hunter New England and Central Coast
2352,Hunter New England and Central Coast
2353,Hunter New England and Central Coast
2354,Hunter New England and Central Coast
2355,Hunter New England and Central Coast
2356,Hunter New England and Central Coast
2357,Western NSW
2358,Hunter New England and Central Coast
2359,Hunter New England and Central Coast
2360,Hunter New England and Central Coast
2361,Hunter New England and Central Coast
2365,Hunter New England and Central Coast
2365,North Coast
2369,Hunter New England and Central Coast
2370,Hunter New England and Central Coast
2370,North Coast
2371,Hunter New England and Central Coast
2372,Hunter New England and Central Coast
2379,Western NSW
2379,Hunter New England and Central Coast
2380,Hunter New England and Central Coast
2381,Western NSW
2381,Hunter New England and Central Coast
2382,Hunter New England and Central Coast
2386,Western NSW
2386,Hunter New England and Central Coast
2387,Western NSW
2387,Hunter New England and Central Coast
2388,Western NSW
2388,Hunter New England and Central Coast
2390,Hunter New England and Central Coast
2395,Western NSW
2396,Western NSW
2397,Hunter New England and Central Coast
2398,Hunter New England and Central Coast
2399,Hunter New England and Central Coast
2400,Hunter New England and Central Coast
2401,Hunter New England and Central Coast
2402,Hunter New England and Central Coast
2403,Hunter New England and Central Coast
